Ticker,Current Price,Average Purchase Price Per Share,Total Number of Shares,Total Cost,Current Value,Dividend,Dollar Return,Percent Return,Sector
AC.TO,26.23,0.0,0,0.0,0.0,0.0,202.0,0.317960018888714,Industrials
SU,19.03,17.31,3,51.92999999999999,58.5,0.0,6.570000000000008,0.12651646447140394,Energy
TGT,175.81,0.0,0,0.0,0.0,0.0,145.096,0.0910489682505817,Consumer Defensive
SQ,221.36,209.49044,6,1256.94264,1360.02,0.0,103.07736,0.08200641518534213,Technology
CSCO,45.03,0.0,0,0.0,0.0,0.0,11.367499999999973,0.058207858508946775,Technology
MXL,31.09,0.0,0,0.0,0.0,0.0,8.068399999999997,0.056370500993491286,Technology
AMD,94.425,0.0,0,0.0,0.0,0.0,31.638500000000025,0.0532541978382888,Technology
BIDU,162.38,153.55989999999997,5,767.7994999999999,808.6,0.0,40.80050000000017,0.053139524055433984,Communication Services
LYFT,48.76,44.922071428571435,7,314.4545,326.55,0.0,12.095500000000017,0.03846502435169481,Technology
DELL,72.88,70.8967,20,1417.934,1442.8,0.0,24.865999999999985,0.01753678238902515,Technology
PBW,90.66,0.0,0,0.0,0.0,0.0,16.104999999999905,0.016824587612172526,
RNW.TO,18.25,0.0,0,0.0,0.0,0.0,0.18999999999999773,0.010770975056689213,Utilities
CLX,202.13,0.0,0,0.0,0.0,0.0,2.7960000000000487,0.006813463169283975,Consumer Defensive
CCS,44.74,0.0,0,0.0,0.0,0.0,0.18500000000000227,0.0042918454935622855,Consumer Cyclical
K,63.33,0.0,0,0.0,0.0,0.0,0.7530000000000427,0.0038691577259836953,Consumer Defensive
DPW,3.96,0.0,0,0.0,0.0,0.0,2.25,0.0025906735751295338,Industrials
ABCB,38.66,37.5694,25,939.235,938.5,0.0,-0.7350000000000136,-0.0007825517575473802,Financial Services
XBC.V,7.1,6.819411764705883,17,115.93,113.9,0.0,-2.0300000000000007,-0.017510566721297343,Industrials
PYPL,224.41,0.0,0,0.0,0.0,0.0,-11.467499999999974,-0.01769164833862806,Financial Services
PG,136.52,0.0,0,0.0,0.0,0.0,-5.9559999999999595,-0.02109677739286889,Consumer Defensive
AAPL,125.32,0.0,0,0.0,0.0,3.51,-19.224500000000035,-0.026536762141820474,Technology
MSFT,216.48,0.0,0,0.0,0.0,0.0,-13.975799999999992,-0.03242645011600926,Technology
CLDR,12.31,12.681733333333336,30,380.452,361.8,0.0,-18.651999999999987,-0.04902589551375729,Technology
LTHM,17.06,17.02,30,510.6,485.4,0.0,-25.199999999999992,-0.04935370152761455,Basic Materials
NLOK,20.534,0.0,0,0.0,0.0,0.0,-13.054399999999955,-0.05148137515025114,Technology
SU.TO,23.96,0.0,0,0.0,0.0,0.0,-3.059999999999995,-0.0589254766031195,Energy
SPG,88.4,0.0,0,0.0,0.0,0.0,-16.415999999999997,-0.08998026748520059,Real Estate
